parameter_set,machine_cycle_no,casting_part_label,casting_date,type_1st_phase,s1,v1,s2,v2,vcrit,vi,s3,v3,s4,s_start_braking,vbrake,p0,p1,t1,p2,t2,sol_time,pvac,hf1,hm2,metal,hf2,hf3,f3,f4,hm3,hm4,m4,piston,dichteindex,comment,alloy_si,alloy_fe,alloy_cu,alloy_mn,alloy_mg,alloy_cr,alloy_ni,alloy_zn,alloy_ti,cavity_sensor_data_file,cavity_sensor_trial_folder,cavity_sensor_file_cycle_nr,casting_diagram_file_path,shot_info_file_path,diagnosis_diagram,values_corrected_from_ddm,casting_part_label_matches_machine_cycle,cavity_source_file,cavity_source_rel_path,cavity_match_file_count,cavity_inventory_error,ddm_source_file,ddm_source_rel_path,ddm_file_status,ddm_match_file_count
or2509-001,12,12,2025-09-08,no optimization,160,0.2,399,0.3,0.0,3.3,540.0,0.5,560.0,710,0.5,300,300,0.1,300,0.1,3,1000,160,180,700,180,160,120,120,160,160,120,60,0.0,"Parametric study, Baseline repeat",11.29,0.737,0.0414,0.324,0.0273,0.0194,0.0141,0.0326,0.0233,Data\CavitySensors\Sensordata_single_export,250908,12,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_17.csv,250908\06_Cavity_Sensors\cycle_data_1_17.csv,1,,ddm_y_FliesslaengerformBuehler_0012_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0012_ok.xml.gz,ok,1
or2509-001,13,13,2025-09-08,no optimization,160,0.2,399,0.3,0.0,3.3,540.0,0.5,560.0,710,0.5,300,300,0.1,300,0.1,3,1000,160,180,700,180,160,120,120,160,160,120,60,0.0,"Parametric study, Baseline repeat",11.29,0.737,0.0414,0.324,0.0273,0.0194,0.0141,0.0326,0.0233,Data\CavitySensors\Sensordata_single_export,250908,13,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_17.csv,250908\06_Cavity_Sensors\cycle_data_1_17.csv,1,,ddm_y_FliesslaengerformBuehler_0013_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0013_ok.xml.gz,ok,1
or2509-001,14,14,2025-09-08,no optimization,160,0.2,399,0.3,0.0,3.3,540.0,0.5,560.0,710,0.5,300,300,0.1,300,0.1,3,1000,160,180,700,180,160,120,120,160,160,120,60,0.0,"Parametric study, Baseline repeat",11.29,0.737,0.0414,0.324,0.0273,0.0194,0.0141,0.0326,0.0233,Data\CavitySensors\Sensordata_single_export,250908,14,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_17.csv,250908\06_Cavity_Sensors\cycle_data_1_17.csv,1,,ddm_y_FliesslaengerformBuehler_0014_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0014_ok.xml.gz,ok,1
or2509-002,30,30,2025-09-09,Buehler any,0,0.0,0,0.0,0.63,3.5,526.0,1.7,626.0,709,1.0,300,500,0.04,600,0.1,16,1000,160,180,700,180,160,120,120,160,160,120,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,13,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0030_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0030_ok.xml.gz,ok,1
or2509-002,31,31,2025-09-09,Buehler any,0,0.0,0,0.0,0.63,3.5,526.0,1.7,626.0,709,1.0,300,500,0.04,600,0.1,16,1000,160,180,700,180,160,120,120,160,160,120,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,14,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0031_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0031_ok.xml.gz,ok,1
or2509-002,32,32,2025-09-09,Buehler any,0,0.0,0,0.0,0.63,3.5,526.0,1.7,626.0,709,1.0,300,500,0.04,600,0.1,16,1000,160,180,700,180,160,120,120,160,160,120,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,15,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0032_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0032_ok.xml.gz,ok,1
or2509-003,37,37,2025-09-09,Buehler any,0,0.0,0,0.0,0.32,2.0,466.0,1.9,554.0,699,0.75,200,500,0.11,500,0.14,16,1000,160,180,700,180,160,120,120,160,160,120,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,20,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,True,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0037_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0037_ok.xml.gz,ok,1
or2509-003,38,,2025-09-09,Buehler any,0,0.0,0,0.0,0.32,2.0,466.0,1.9,554.0,699,0.75,200,500,0.11,500,0.14,16,1000,160,180,700,180,160,120,120,160,160,120,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,21,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,True,False,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0038_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0038_ok.xml.gz,ok,1
or2509-003,39,39,2025-09-09,Buehler any,0,0.0,0,0.0,0.32,2.0,466.0,1.9,554.0,699,0.75,200,500,0.11,500,0.14,16,1000,160,180,700,180,160,120,120,160,160,120,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,22,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,True,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0039_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0039_ok.xml.gz,ok,1
or2509-004,48,48,2025-09-09,Nogowizin,0,0.0,0,0.0,0.0,4.0,566.0,1.8,646.0,679,0.75,200,400,0.07,600,0.09,8,1000,160,150,700,180,160,120,120,130,130,90,60,0.0833,Parametric study,11.35,0.765,0.0357,0.331,0.0251,0.0218,0.0132,0.034,0.0246,Data\CavitySensors\Sensordata_single_export,250909,31,Data\ddm\ddm_y_FliesslaengerformBuehler_MachineCycleNo_pw.xml.gz,Data\dwa\dwa_y_FliesslaengerformBuehler_MachineCycleNo_pw.txt,Data\ddd\ddd_y_TIMESTAMP_FROM_DWA.xml.gz,False,True,cycle_data_1_78_shots_18-95.csv,250909\06_Cavity_Sensors\cycle_data_1_78_shots_18-95.csv,1,,ddm_y_FliesslaengerformBuehler_0048_ok.xml.gz,ddm_y_FliesslaengerformBuehler_0048_ok.xml.gz,ok,1
