machine_cycle_no,source_file
1,ddm_y_FliesslaengerformBuehler_0001_pw.xml.gz
2,ddm_y_FliesslaengerformBuehler_0002_pw.xml.gz
3,ddm_y_FliesslaengerformBuehler_0003_ok.xml.gz
4,ddm_y_FliesslaengerformBuehler_0004_ok.xml.gz
5,ddm_y_FliesslaengerformBuehler_0005_ok.xml.gz
6,ddm_y_FliesslaengerformBuehler_0006_ok.xml.gz
7,ddm_y_FliesslaengerformBuehler_0007_ok.xml.gz
8,ddm_y_FliesslaengerformBuehler_0008_ok.xml.gz
9,ddm_y_FliesslaengerformBuehler_0009_ok.xml.gz
10,ddm_y_FliesslaengerformBuehler_0010_ok.xml.gz
11,ddm_y_FliesslaengerformBuehler_0011_ok.xml.gz
15,ddm_y_FliesslaengerformBuehler_0015_lok.xml.gz
16,ddm_y_FliesslaengerformBuehler_0016_lok.xml.gz
17,ddm_y_FliesslaengerformBuehler_0017_lok.xml.gz
18,ddm_y_FliesslaengerformBuehler_0018_pw.xml.gz
19,ddm_y_FliesslaengerformBuehler_0019_pw.xml.gz
20,ddm_y_FliesslaengerformBuehler_0020_lok.xml.gz
21,ddm_y_FliesslaengerformBuehler_0021_ok.xml.gz
22,ddm_y_FliesslaengerformBuehler_0022_ok.xml.gz
23,ddm_y_FliesslaengerformBuehler_0023_bad.xml.gz
24,ddm_y_FliesslaengerformBuehler_0024_pw.xml.gz
25,ddm_y_FliesslaengerformBuehler_0025_pw.xml.gz
26,ddm_y_FliesslaengerformBuehler_0026_lok.xml.gz
27,ddm_y_FliesslaengerformBuehler_0027_ok.xml.gz
28,ddm_y_FliesslaengerformBuehler_0028_ok.xml.gz
29,ddm_y_FliesslaengerformBuehler_0029_ok.xml.gz
33,ddm_y_FliesslaengerformBuehler_0033_lok.xml.gz
34,ddm_y_FliesslaengerformBuehler_0034_ok.xml.gz
35,ddm_y_FliesslaengerformBuehler_0035_ok.xml.gz
36,ddm_y_FliesslaengerformBuehler_0036_ok.xml.gz
38,ddm_y_FliesslaengerformBuehler_0038_ok.xml.gz
40,ddm_y_FliesslaengerformBuehler_0040_pw.xml.gz
41,ddm_y_FliesslaengerformBuehler_0041_pw.xml.gz
42,ddm_y_FliesslaengerformBuehler_0042_lok.xml.gz
43,ddm_y_FliesslaengerformBuehler_0043_lok.xml.gz
44,ddm_y_FliesslaengerformBuehler_0044_lok.xml.gz
45,ddm_y_FliesslaengerformBuehler_0045_ok.xml.gz
46,ddm_y_FliesslaengerformBuehler_0046_ok.xml.gz
47,ddm_y_FliesslaengerformBuehler_0047_ok.xml.gz
51,ddm_y_FliesslaengerformBuehler_0051_pw.xml.gz
52,ddm_y_FliesslaengerformBuehler_0052_pw.xml.gz
53,ddm_y_FliesslaengerformBuehler_0053_lok.xml.gz
54,ddm_y_FliesslaengerformBuehler_0054_lok.xml.gz
55,ddm_y_FliesslaengerformBuehler_0055_lok.xml.gz
56,ddm_y_FliesslaengerformBuehler_0056_ok.xml.gz
60,ddm_y_FliesslaengerformBuehler_0060_lok.xml.gz
61,ddm_y_FliesslaengerformBuehler_0061_ok.xml.gz
62,ddm_y_FliesslaengerformBuehler_0062_ok.xml.gz
