collection,source_rel_path,filename,file_status,curve_index,short_name,long_name,unit,samples,duration_s,min,max,mean,sample_columns,curve_metadata_keys
ddd,ddd\ddd_y_250908151455.xml.gz,ddd_y_250908151455.xml.gz,,0,p Soll,Nominal pressure,[bar],373,80.0,3.0,210.0,133.09919571045577,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151455.xml.gz,ddd_y_250908151455.xml.gz,,1,p Sys   a,System pressure,[bar],2677,80.0,0.0,250.0,101.05042958535674,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151455.xml.gz,ddd_y_250908151455.xml.gz,,2,s L     a,die position,[mm],3504,80.0,0.0,990.7,330.8088184931506,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151455.xml.gz,ddd_y_250908151455.xml.gz,,3,p L     a,closing pressure,[bar],2699,80.0,1.0,250.0,107.50574286772878,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151455.xml.gz,ddd_y_250908151455.xml.gz,,4,s I     a,Plunger stroke,[mm],3573,80.0,0.0,763.5,340.5230898404702,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151455.xml.gz,ddd_y_250908151455.xml.gz,,5,v I     a,Casting cylinder velocity,[m/s],456,80.0,-0.36,2.5,0.5279385964912281,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151455.xml.gz,ddd_y_250908151455.xml.gz,,6,p IM    a,Metal pressure: actual,[bar],1710,80.0,0.0,302.0,227.6701754385965,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151455.xml.gz,ddd_y_250908151455.xml.gz,,7,p I.1   a,casting cyl. primary,[bar],1134,80.0,-3.0,165.0,101.70775308641976,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151455.xml.gz,ddd_y_250908151455.xml.gz,,8,p I.2   a,Injection cylinder secondary,[bar],1723,80.0,3.0,237.0,124.26768543238538,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151455.xml.gz,ddd_y_250908151455.xml.gz,,9,p N Acc a,nitrogen pressure accu,[bar],444,80.0,121.0,138.0,128.68243243243242,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151455.xml.gz,ddd_y_250908151455.xml.gz,,10,s E     a,ejector stroke,[mm],229,80.0,-0.8,15.1,7.0794759825327525,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151455.xml.gz,ddd_y_250908151455.xml.gz,,11,p Atm   a,Ambient pressure,[mbar],4,52.04052,956.0,956.0,956.0,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151455.xml.gz,ddd_y_250908151455.xml.gz,,12,p Vac T a,Vacuum tank pressure,[mbar],4,52.04052,966.0,966.0,966.0,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151455.xml.gz,ddd_y_250908151455.xml.gz,,13,p VacD2 a,VacD2: Vacuum pressure moving platen,[mbar],201,80.0,956.0,960.0,957.3432835820895,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151807.xml.gz,ddd_y_250908151807.xml.gz,,0,p Soll,Nominal pressure,[bar],272,80.0,3.0,210.0,130.125,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151807.xml.gz,ddd_y_250908151807.xml.gz,,1,p Sys   a,System pressure,[bar],1829,80.0,0.0,169.0,86.86932750136687,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151807.xml.gz,ddd_y_250908151807.xml.gz,,2,s L     a,die position,[mm],2700,80.0,0.0,990.8,419.78055555555557,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151807.xml.gz,ddd_y_250908151807.xml.gz,,3,p L     a,closing pressure,[bar],3185,80.0,1.0,202.0,104.86059654631083,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151807.xml.gz,ddd_y_250908151807.xml.gz,,4,s I     a,Plunger stroke,[mm],3574,80.0,0.0,763.5,342.6710968102966,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151807.xml.gz,ddd_y_250908151807.xml.gz,,5,v I     a,Casting cylinder velocity,[m/s],472,80.0,-0.36,2.19,0.4890466101694915,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151807.xml.gz,ddd_y_250908151807.xml.gz,,6,p IM    a,Metal pressure: actual,[bar],1573,80.0,0.0,304.0,226.52828989192625,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151807.xml.gz,ddd_y_250908151807.xml.gz,,7,p I.1   a,casting cyl. primary,[bar],1068,80.0,-3.0,163.0,102.03511142322097,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151807.xml.gz,ddd_y_250908151807.xml.gz,,8,p I.2   a,Injection cylinder secondary,[bar],1680,80.0,2.0,236.0,122.3900130952381,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151807.xml.gz,ddd_y_250908151807.xml.gz,,9,p N Acc a,nitrogen pressure accu,[bar],324,80.0,119.0,135.0,125.50617283950618,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151807.xml.gz,ddd_y_250908151807.xml.gz,,10,s E     a,ejector stroke,[mm],229,80.0,-0.8,15.1,7.119650655021834,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151807.xml.gz,ddd_y_250908151807.xml.gz,,11,p Atm   a,Ambient pressure,[mbar],6,80.0,956.0,956.0,956.0,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151807.xml.gz,ddd_y_250908151807.xml.gz,,12,p Vac T a,Vacuum tank pressure,[mbar],6,80.0,966.0,966.0,966.0,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908151807.xml.gz,ddd_y_250908151807.xml.gz,,13,p VacD2 a,VacD2: Vacuum pressure moving platen,[mbar],126,80.0,956.0,960.0,957.2549841269841,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152118.xml.gz,ddd_y_250908152118.xml.gz,,0,p Soll,Nominal pressure,[bar],270,80.0,3.0,210.0,129.64444444444445,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152118.xml.gz,ddd_y_250908152118.xml.gz,,1,p Sys   a,System pressure,[bar],2050,80.0,0.0,170.0,94.98682926829268,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152118.xml.gz,ddd_y_250908152118.xml.gz,,2,s L     a,die position,[mm],2873,80.0,0.0,990.696,427.9242241559345,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152118.xml.gz,ddd_y_250908152118.xml.gz,,3,p L     a,closing pressure,[bar],2073,80.0,1.0,202.0,99.48528702363724,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
ddd,ddd\ddd_y_250908152118.xml.gz,ddd_y_250908152118.xml.gz,,4,s I     a,Plunger stroke,[mm],3479,80.0,0.0,764.0,333.6762000574878,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText
