collection,source_rel_path,filename,file_status,size_bytes,metadata_key_count,metadata_keys,curve_count,total_samples,min_duration_s,max_duration_s,curve_headers,sample_headers,curve_metadata_headers,available_curves,checks
ddd,ddd\ddd_y_250908151455.xml.gz,ddd_y_250908151455.xml.gz,,103663,37,castingIdent; cursorPosition; customerOrder; cycleNumber; cycleNumberShortText; dataRange; diagrType; fileDate; fileName; firm; formIdent; formProg; fpo; language; longText; machineId; machineType; metalIdent; objectNumber; objectSVname; poId; qualityAttribute; refTime; relDataStartTime; relViewportStartTime; relZeroPoint; shiftNumber; shortText; softwareVersion; sumCycJob; triggerLongText; triggerSVname; triggerShortText; unit; viewportRange; xml_formatVersion; xml_sw,14,18731,52.04052,80.0,short_name; long_name; unit; samples; duration_s; min; max; mean,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText,Ambient pressure (p Atm   a) [mbar]; Casting cylinder velocity (v I     a) [m/s]; Injection cylinder secondary (p I.2   a) [bar]; Metal pressure: actual (p IM    a) [bar]; Nominal pressure (p Soll) [bar]; Plunger stroke (s I     a) [mm]; System pressure (p Sys   a) [bar]; VacD2: Vacuum pressure moving platen (p VacD2 a) [mbar]; Vacuum tank pressure (p Vac T a) [mbar]; casting cyl. primary (p I.1   a) [bar]; closing pressure (p L     a) [bar]; die position (s L     a) [mm]; ejector stroke (s E     a) [mm]; nitrogen pressure accu (p N Acc a) [bar],OK
ddd,ddd\ddd_y_250908151807.xml.gz,ddd_y_250908151807.xml.gz,,92317,37,castingIdent; cursorPosition; customerOrder; cycleNumber; cycleNumberShortText; dataRange; diagrType; fileDate; fileName; firm; formIdent; formProg; fpo; language; longText; machineId; machineType; metalIdent; objectNumber; objectSVname; poId; qualityAttribute; refTime; relDataStartTime; relViewportStartTime; relZeroPoint; shiftNumber; shortText; softwareVersion; sumCycJob; triggerLongText; triggerSVname; triggerShortText; unit; viewportRange; xml_formatVersion; xml_sw,14,17044,80.0,80.0,short_name; long_name; unit; samples; duration_s; min; max; mean,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText,Ambient pressure (p Atm   a) [mbar]; Casting cylinder velocity (v I     a) [m/s]; Injection cylinder secondary (p I.2   a) [bar]; Metal pressure: actual (p IM    a) [bar]; Nominal pressure (p Soll) [bar]; Plunger stroke (s I     a) [mm]; System pressure (p Sys   a) [bar]; VacD2: Vacuum pressure moving platen (p VacD2 a) [mbar]; Vacuum tank pressure (p Vac T a) [mbar]; casting cyl. primary (p I.1   a) [bar]; closing pressure (p L     a) [bar]; die position (s L     a) [mm]; ejector stroke (s E     a) [mm]; nitrogen pressure accu (p N Acc a) [bar],OK
ddd,ddd\ddd_y_250908152118.xml.gz,ddd_y_250908152118.xml.gz,,90549,37,castingIdent; cursorPosition; customerOrder; cycleNumber; cycleNumberShortText; dataRange; diagrType; fileDate; fileName; firm; formIdent; formProg; fpo; language; longText; machineId; machineType; metalIdent; objectNumber; objectSVname; poId; qualityAttribute; refTime; relDataStartTime; relViewportStartTime; relZeroPoint; shiftNumber; shortText; softwareVersion; sumCycJob; triggerLongText; triggerSVname; triggerShortText; unit; viewportRange; xml_formatVersion; xml_sw,14,16490,80.0,80.0,short_name; long_name; unit; samples; duration_s; min; max; mean,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText,Ambient pressure (p Atm   a) [mbar]; Casting cylinder velocity (v I     a) [m/s]; Injection cylinder secondary (p I.2   a) [bar]; Metal pressure: actual (p IM    a) [bar]; Nominal pressure (p Soll) [bar]; Plunger stroke (s I     a) [mm]; System pressure (p Sys   a) [bar]; VacD2: Vacuum pressure moving platen (p VacD2 a) [mbar]; Vacuum tank pressure (p Vac T a) [mbar]; casting cyl. primary (p I.1   a) [bar]; closing pressure (p L     a) [bar]; die position (s L     a) [mm]; ejector stroke (s E     a) [mm]; nitrogen pressure accu (p N Acc a) [bar],OK
ddd,ddd\ddd_y_250908152429.xml.gz,ddd_y_250908152429.xml.gz,,87105,37,castingIdent; cursorPosition; customerOrder; cycleNumber; cycleNumberShortText; dataRange; diagrType; fileDate; fileName; firm; formIdent; formProg; fpo; language; longText; machineId; machineType; metalIdent; objectNumber; objectSVname; poId; qualityAttribute; refTime; relDataStartTime; relViewportStartTime; relZeroPoint; shiftNumber; shortText; softwareVersion; sumCycJob; triggerLongText; triggerSVname; triggerShortText; unit; viewportRange; xml_formatVersion; xml_sw,14,15711,80.0,80.0,short_name; long_name; unit; samples; duration_s; min; max; mean,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText,Ambient pressure (p Atm   a) [mbar]; Casting cylinder velocity (v I     a) [m/s]; Injection cylinder secondary (p I.2   a) [bar]; Metal pressure: actual (p IM    a) [bar]; Nominal pressure (p Soll) [bar]; Plunger stroke (s I     a) [mm]; System pressure (p Sys   a) [bar]; VacD2: Vacuum pressure moving platen (p VacD2 a) [mbar]; Vacuum tank pressure (p Vac T a) [mbar]; casting cyl. primary (p I.1   a) [bar]; closing pressure (p L     a) [bar]; die position (s L     a) [mm]; ejector stroke (s E     a) [mm]; nitrogen pressure accu (p N Acc a) [bar],OK
ddd,ddd\ddd_y_250908152741.xml.gz,ddd_y_250908152741.xml.gz,,92718,37,castingIdent; cursorPosition; customerOrder; cycleNumber; cycleNumberShortText; dataRange; diagrType; fileDate; fileName; firm; formIdent; formProg; fpo; language; longText; machineId; machineType; metalIdent; objectNumber; objectSVname; poId; qualityAttribute; refTime; relDataStartTime; relViewportStartTime; relZeroPoint; shiftNumber; shortText; softwareVersion; sumCycJob; triggerLongText; triggerSVname; triggerShortText; unit; viewportRange; xml_formatVersion; xml_sw,14,17052,80.0,80.0,short_name; long_name; unit; samples; duration_s; min; max; mean,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText,Ambient pressure (p Atm   a) [mbar]; Casting cylinder velocity (v I     a) [m/s]; Injection cylinder secondary (p I.2   a) [bar]; Metal pressure: actual (p IM    a) [bar]; Nominal pressure (p Soll) [bar]; Plunger stroke (s I     a) [mm]; System pressure (p Sys   a) [bar]; VacD2: Vacuum pressure moving platen (p VacD2 a) [mbar]; Vacuum tank pressure (p Vac T a) [mbar]; casting cyl. primary (p I.1   a) [bar]; closing pressure (p L     a) [bar]; die position (s L     a) [mm]; ejector stroke (s E     a) [mm]; nitrogen pressure accu (p N Acc a) [bar],OK
ddd,ddd\ddd_y_250908153053.xml.gz,ddd_y_250908153053.xml.gz,,91571,37,castingIdent; cursorPosition; customerOrder; cycleNumber; cycleNumberShortText; dataRange; diagrType; fileDate; fileName; firm; formIdent; formProg; fpo; language; longText; machineId; machineType; metalIdent; objectNumber; objectSVname; poId; qualityAttribute; refTime; relDataStartTime; relViewportStartTime; relZeroPoint; shiftNumber; shortText; softwareVersion; sumCycJob; triggerLongText; triggerSVname; triggerShortText; unit; viewportRange; xml_formatVersion; xml_sw,14,16742,80.0,80.0,short_name; long_name; unit; samples; duration_s; min; max; mean,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText,Ambient pressure (p Atm   a) [mbar]; Casting cylinder velocity (v I     a) [m/s]; Injection cylinder secondary (p I.2   a) [bar]; Metal pressure: actual (p IM    a) [bar]; Nominal pressure (p Soll) [bar]; Plunger stroke (s I     a) [mm]; System pressure (p Sys   a) [bar]; VacD2: Vacuum pressure moving platen (p VacD2 a) [mbar]; Vacuum tank pressure (p Vac T a) [mbar]; casting cyl. primary (p I.1   a) [bar]; closing pressure (p L     a) [bar]; die position (s L     a) [mm]; ejector stroke (s E     a) [mm]; nitrogen pressure accu (p N Acc a) [bar],OK
ddd,ddd\ddd_y_250908153404.xml.gz,ddd_y_250908153404.xml.gz,,93501,37,castingIdent; cursorPosition; customerOrder; cycleNumber; cycleNumberShortText; dataRange; diagrType; fileDate; fileName; firm; formIdent; formProg; fpo; language; longText; machineId; machineType; metalIdent; objectNumber; objectSVname; poId; qualityAttribute; refTime; relDataStartTime; relViewportStartTime; relZeroPoint; shiftNumber; shortText; softwareVersion; sumCycJob; triggerLongText; triggerSVname; triggerShortText; unit; viewportRange; xml_formatVersion; xml_sw,14,17290,80.0,80.0,short_name; long_name; unit; samples; duration_s; min; max; mean,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText,Ambient pressure (p Atm   a) [mbar]; Casting cylinder velocity (v I     a) [m/s]; Injection cylinder secondary (p I.2   a) [bar]; Metal pressure: actual (p IM    a) [bar]; Nominal pressure (p Soll) [bar]; Plunger stroke (s I     a) [mm]; System pressure (p Sys   a) [bar]; VacD2: Vacuum pressure moving platen (p VacD2 a) [mbar]; Vacuum tank pressure (p Vac T a) [mbar]; casting cyl. primary (p I.1   a) [bar]; closing pressure (p L     a) [bar]; die position (s L     a) [mm]; ejector stroke (s E     a) [mm]; nitrogen pressure accu (p N Acc a) [bar],OK
ddd,ddd\ddd_y_250908153716.xml.gz,ddd_y_250908153716.xml.gz,,95477,37,castingIdent; cursorPosition; customerOrder; cycleNumber; cycleNumberShortText; dataRange; diagrType; fileDate; fileName; firm; formIdent; formProg; fpo; language; longText; machineId; machineType; metalIdent; objectNumber; objectSVname; poId; qualityAttribute; refTime; relDataStartTime; relViewportStartTime; relZeroPoint; shiftNumber; shortText; softwareVersion; sumCycJob; triggerLongText; triggerSVname; triggerShortText; unit; viewportRange; xml_formatVersion; xml_sw,14,17738,80.0,80.0,short_name; long_name; unit; samples; duration_s; min; max; mean,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText,Ambient pressure (p Atm   a) [mbar]; Casting cylinder velocity (v I     a) [m/s]; Injection cylinder secondary (p I.2   a) [bar]; Metal pressure: actual (p IM    a) [bar]; Nominal pressure (p Soll) [bar]; Plunger stroke (s I     a) [mm]; System pressure (p Sys   a) [bar]; VacD2: Vacuum pressure moving platen (p VacD2 a) [mbar]; Vacuum tank pressure (p Vac T a) [mbar]; casting cyl. primary (p I.1   a) [bar]; closing pressure (p L     a) [bar]; die position (s L     a) [mm]; ejector stroke (s E     a) [mm]; nitrogen pressure accu (p N Acc a) [bar],OK
ddd,ddd\ddd_y_250908154029.xml.gz,ddd_y_250908154029.xml.gz,,92521,37,castingIdent; cursorPosition; customerOrder; cycleNumber; cycleNumberShortText; dataRange; diagrType; fileDate; fileName; firm; formIdent; formProg; fpo; language; longText; machineId; machineType; metalIdent; objectNumber; objectSVname; poId; qualityAttribute; refTime; relDataStartTime; relViewportStartTime; relZeroPoint; shiftNumber; shortText; softwareVersion; sumCycJob; triggerLongText; triggerSVname; triggerShortText; unit; viewportRange; xml_formatVersion; xml_sw,14,17090,80.0,80.0,short_name; long_name; unit; samples; duration_s; min; max; mean,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText,Ambient pressure (p Atm   a) [mbar]; Casting cylinder velocity (v I     a) [m/s]; Injection cylinder secondary (p I.2   a) [bar]; Metal pressure: actual (p IM    a) [bar]; Nominal pressure (p Soll) [bar]; Plunger stroke (s I     a) [mm]; System pressure (p Sys   a) [bar]; VacD2: Vacuum pressure moving platen (p VacD2 a) [mbar]; Vacuum tank pressure (p Vac T a) [mbar]; casting cyl. primary (p I.1   a) [bar]; closing pressure (p L     a) [bar]; die position (s L     a) [mm]; ejector stroke (s E     a) [mm]; nitrogen pressure accu (p N Acc a) [bar],OK
ddd,ddd\ddd_y_250908154213.xml.gz,ddd_y_250908154213.xml.gz,,93773,37,castingIdent; cursorPosition; customerOrder; cycleNumber; cycleNumberShortText; dataRange; diagrType; fileDate; fileName; firm; formIdent; formProg; fpo; language; longText; machineId; machineType; metalIdent; objectNumber; objectSVname; poId; qualityAttribute; refTime; relDataStartTime; relViewportStartTime; relZeroPoint; shiftNumber; shortText; softwareVersion; sumCycJob; triggerLongText; triggerSVname; triggerShortText; unit; viewportRange; xml_formatVersion; xml_sw,14,17050,80.0,80.0,short_name; long_name; unit; samples; duration_s; min; max; mean,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText,Ambient pressure (p Atm   a) [mbar]; Casting cylinder velocity (v I     a) [m/s]; Injection cylinder secondary (p I.2   a) [bar]; Metal pressure: actual (p IM    a) [bar]; Nominal pressure (p Soll) [bar]; Plunger stroke (s I     a) [mm]; System pressure (p Sys   a) [bar]; VacD2: Vacuum pressure moving platen (p VacD2 a) [mbar]; Vacuum tank pressure (p Vac T a) [mbar]; casting cyl. primary (p I.1   a) [bar]; closing pressure (p L     a) [bar]; die position (s L     a) [mm]; ejector stroke (s E     a) [mm]; nitrogen pressure accu (p N Acc a) [bar],OK
ddd,ddd\ddd_y_250908154404.xml.gz,ddd_y_250908154404.xml.gz,,96641,37,castingIdent; cursorPosition; customerOrder; cycleNumber; cycleNumberShortText; dataRange; diagrType; fileDate; fileName; firm; formIdent; formProg; fpo; language; longText; machineId; machineType; metalIdent; objectNumber; objectSVname; poId; qualityAttribute; refTime; relDataStartTime; relViewportStartTime; relZeroPoint; shiftNumber; shortText; softwareVersion; sumCycJob; triggerLongText; triggerSVname; triggerShortText; unit; viewportRange; xml_formatVersion; xml_sw,14,17856,80.0,80.0,short_name; long_name; unit; samples; duration_s; min; max; mean,CAdtIdx; time_s; time_us; value,color; fractionalDigitsY; longText; objectNumber; objectSVname; offsetY; scaleY; shortText; signalType; unitText,Ambient pressure (p Atm   a) [mbar]; Casting cylinder velocity (v I     a) [m/s]; Injection cylinder secondary (p I.2   a) [bar]; Metal pressure: actual (p IM    a) [bar]; Nominal pressure (p Soll) [bar]; Plunger stroke (s I     a) [mm]; System pressure (p Sys   a) [bar]; VacD2: Vacuum pressure moving platen (p VacD2 a) [mbar]; Vacuum tank pressure (p Vac T a) [mbar]; casting cyl. primary (p I.1   a) [bar]; closing pressure (p L     a) [bar]; die position (s L     a) [mm]; ejector stroke (s E     a) [mm]; nitrogen pressure accu (p N Acc a) [bar],OK
